class_idx,class_name,cx,cy,w,h,x_min,y_min,x_max,y_max,image_file,image_id,source,label_confidence
2,abnormal_midpiece,0.22734375,0.2625,0.1140625,0.05625,109,150,182,186,syn_00004.jpg,syn_00004,synthetic,synthetic
0,normal,0.559375,0.9140625,0.090625,0.134375,329,542,387,628,syn_00005.jpg,syn_00005,synthetic,synthetic
0,normal,0.2375,0.58828125,0.040625,0.1265625,139,336,165,417,syn_00005.jpg,syn_00005,synthetic,synthetic
1,abnormal_head,0.934375,0.60859375,0.128125,0.0515625,557,373,639,406,syn_00005.jpg,syn_00005,synthetic,synthetic
0,normal,0.8359375,0.28125,0.046875,0.103125,520,147,550,213,syn_00005.jpg,syn_00005,synthetic,synthetic
1,abnormal_head,0.6109375,0.1265625,0.09375,0.125,361,41,421,121,syn_00005.jpg,syn_00005,synthetic,synthetic
1,abnormal_head,0.3890625,0.65625,0.084375,0.096875,222,389,276,451,syn_00005.jpg,syn_00005,synthetic,synthetic
0,normal,0.89375,0.55703125,0.04375,0.1234375,558,317,586,396,syn_00005.jpg,syn_00005,synthetic,synthetic
1,abnormal_head,0.6796875,0.71640625,0.04375,0.1078125,421,424,449,493,syn_00006.jpg,syn_00006,synthetic,synthetic
3,abnormal_tail,0.2046875,0.2828125,0.0625,0.06875,111,159,151,203,syn_00006.jpg,syn_00006,synthetic,synthetic
3,abnormal_tail,0.9171875,0.89375,0.05,0.040625,571,559,603,585,syn_00006.jpg,syn_00006,synthetic,synthetic
0,normal,0.675,0.58125,0.05,0.1125,416,336,448,408,syn_00006.jpg,syn_00006,synthetic,synthetic
0,normal,0.665625,0.2,0.11875,0.053125,388,111,464,145,syn_00006.jpg,syn_00006,synthetic,synthetic
0,normal,0.390625,0.603125,0.121875,0.09375,211,356,289,416,syn_00006.jpg,syn_00006,synthetic,synthetic
2,abnormal_midpiece,0.80546875,0.7703125,0.1359375,0.075,472,469,559,517,syn_00006.jpg,syn_00006,synthetic,synthetic
2,abnormal_midpiece,0.26328125,0.54765625,0.0703125,0.1359375,146,307,191,394,syn_00006.jpg,syn_00006,synthetic,synthetic
2,abnormal_midpiece,0.68984375,0.0875,0.0984375,0.046875,410,41,473,71,syn_00006.jpg,syn_00006,synthetic,synthetic
0,normal,0.453125,0.7515625,0.046875,0.10625,275,447,305,515,syn_00006.jpg,syn_00006,synthetic,synthetic
0,normal,0.9015625,0.6359375,0.0875,0.11875,549,369,605,445,syn_00006.jpg,syn_00006,synthetic,synthetic
1,abnormal_head,0.15,0.8078125,0.06875,0.1375,74,473,118,561,syn_00006.jpg,syn_00006,synthetic,synthetic
0,normal,0.67734375,0.41171875,0.0484375,0.1109375,418,228,449,299,syn_00006.jpg,syn_00006,synthetic,synthetic
4,cytoplasmic_droplet,0.87421875,0.6,0.1328125,0.0875,517,356,602,412,syn_00006.jpg,syn_00006,synthetic,synthetic
0,normal,0.50703125,0.39296875,0.1234375,0.0671875,285,230,364,273,syn_00006.jpg,syn_00006,synthetic,synthetic
5,other_abnormal,0.64765625,0.89609375,0.0578125,0.0859375,396,546,433,601,syn_00006.jpg,syn_00006,synthetic,synthetic
1,abnormal_head,0.41328125,0.825,0.1171875,0.05,227,512,302,544,syn_00006.jpg,syn_00006,synthetic,synthetic
5,other_abnormal,0.1015625,0.759375,0.04375,0.15,51,438,79,534,syn_00006.jpg,syn_00006,synthetic,synthetic
4,cytoplasmic_droplet,0.22734375,0.3640625,0.0984375,0.134375,114,190,177,276,syn_00006.jpg,syn_00006,synthetic,synthetic
4,cytoplasmic_droplet,0.06484375,0.4484375,0.1015625,0.109375,9,252,74,322,syn_00007.jpg,syn_00007,synthetic,synthetic
1,abnormal_head,0.16796875,0.346875,0.0828125,0.04375,81,208,134,236,syn_00007.jpg,syn_00007,synthetic,synthetic
3,abnormal_tail,0.7796875,0.54765625,0.0625,0.0390625,479,338,519,363,syn_00007.jpg,syn_00007,synthetic,synthetic
0,normal,0.67578125,0.6828125,0.0765625,0.1125,408,401,457,473,syn_00007.jpg,syn_00007,synthetic,synthetic
0,normal,0.4484375,0.5890625,0.065625,0.08125,266,351,308,403,syn_00007.jpg,syn_00007,synthetic,synthetic
0,normal,0.9390625,0.69609375,0.065625,0.0703125,580,423,622,468,syn_00007.jpg,syn_00007,synthetic,synthetic
0,normal,0.21328125,0.27890625,0.0828125,0.0703125,110,156,163,201,syn_00007.jpg,syn_00007,synthetic,synthetic
0,normal,0.44140625,0.30078125,0.0296875,0.1203125,273,154,292,231,syn_00007.jpg,syn_00007,synthetic,synthetic
1,abnormal_head,0.1890625,0.1703125,0.084375,0.109375,94,74,148,144,syn_00008.jpg,syn_00008,synthetic,synthetic
5,other_abnormal,0.9109375,0.1109375,0.0875,0.115625,555,34,611,108,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.77109375,0.21015625,0.0578125,0.1015625,475,102,512,167,syn_00008.jpg,syn_00008,synthetic,synthetic
1,abnormal_head,0.115625,0.48515625,0.0625,0.1296875,54,269,94,352,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.8453125,0.859375,0.046875,0.103125,526,517,556,583,syn_00008.jpg,syn_00008,synthetic,synthetic
1,abnormal_head,0.2125,0.39375,0.128125,0.103125,95,219,177,285,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.5953125,0.40625,0.06875,0.103125,359,227,403,293,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.525,0.92421875,0.1,0.0859375,304,564,368,619,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.2078125,0.23203125,0.08125,0.0453125,107,134,159,163,syn_00008.jpg,syn_00008,synthetic,synthetic
1,abnormal_head,0.59765625,0.21796875,0.0859375,0.1265625,355,99,410,180,syn_00008.jpg,syn_00008,synthetic,synthetic
2,abnormal_midpiece,0.30625,0.24140625,0.0875,0.0890625,168,126,224,183,syn_00008.jpg,syn_00008,synthetic,synthetic
3,abnormal_tail,0.85078125,0.2,0.0734375,0.065625,521,107,568,149,syn_00008.jpg,syn_00008,synthetic,synthetic
4,cytoplasmic_droplet,0.3640625,0.884375,0.128125,0.11875,192,528,274,604,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.20234375,0.6234375,0.0640625,0.1125,109,363,150,435,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.5875,0.15859375,0.05625,0.1015625,358,69,394,134,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.22734375,0.7453125,0.1046875,0.065625,112,456,179,498,syn_00008.jpg,syn_00008,synthetic,synthetic
0,normal,0.809375,0.86328125,0.04375,0.1234375,504,513,532,592,syn_00008.jpg,syn_00008,synthetic,synthetic
4,cytoplasmic_droplet,0.67109375,0.0546875,0.0828125,0.071875,403,12,456,58,syn_00009.jpg,syn_00009,synthetic,synthetic
0,normal,0.4765625,0.36875,0.03125,0.09375,295,206,315,266,syn_00009.jpg,syn_00009,synthetic,synthetic
2,abnormal_midpiece,0.88203125,0.603125,0.0859375,0.0625,537,366,592,406,syn_00009.jpg,syn_00009,synthetic,synthetic
0,normal,0.1453125,0.9171875,0.059375,0.06875,74,565,112,609,syn_00009.jpg,syn_00009,synthetic,synthetic
0,normal,0.78203125,0.665625,0.0453125,0.146875,486,379,515,473,syn_00009.jpg,syn_00009,synthetic,synthetic
1,abnormal_head,0.41171875,0.809375,0.0953125,0.046875,233,503,294,533,syn_00009.jpg,syn_00009,synthetic,synthetic
3,abnormal_tail,0.084375,0.65078125,0.0375,0.0609375,42,397,66,436,syn_00009.jpg,syn_00009,synthetic,synthetic
0,normal,0.3859375,0.5859375,0.04375,0.10625,233,341,261,409,syn_00009.jpg,syn_00009,synthetic,synthetic
0,normal,0.17421875,0.5109375,0.0984375,0.05625,80,309,143,345,syn_00009.jpg,syn_00009,synthetic,synthetic
2,abnormal_midpiece,0.3359375,0.2828125,0.121875,0.059375,176,162,254,200,syn_00009.jpg,syn_00009,synthetic,synthetic
5,other_abnormal,0.41875,0.92421875,0.115625,0.0640625,231,571,305,612,syn_00009.jpg,syn_00009,synthetic,synthetic
4,cytoplasmic_droplet,0.35,0.6234375,0.103125,0.06875,191,377,257,421,syn_00009.jpg,syn_00009,synthetic,synthetic
2,abnormal_midpiece,0.878125,0.2109375,0.1,0.10625,530,101,594,169,syn_00010.jpg,syn_00010,synthetic,synthetic
3,abnormal_tail,0.24375,0.39375,0.065625,0.05625,135,234,177,270,syn_00010.jpg,syn_00010,synthetic,synthetic
0,normal,0.15859375,0.71484375,0.0828125,0.0953125,75,427,128,488,syn_00010.jpg,syn_00010,synthetic,synthetic
1,abnormal_head,0.528125,0.0578125,0.071875,0.059375,315,18,361,56,syn_00010.jpg,syn_00010,synthetic,synthetic
0,normal,0.80546875,0.5453125,0.0953125,0.0375,485,337,546,361,syn_00010.jpg,syn_00010,synthetic,synthetic
5,other_abnormal,0.76484375,0.91171875,0.0671875,0.0921875,468,554,511,613,syn_00010.jpg,syn_00010,synthetic,synthetic
0,normal,0.49296875,0.5640625,0.0859375,0.125,288,321,343,401,syn_00010.jpg,syn_00010,synthetic,synthetic
0,normal,0.59375,0.4703125,0.109375,0.059375,345,282,415,320,syn_00010.jpg,syn_00010,synthetic,synthetic
0,normal,0.66796875,0.2671875,0.0890625,0.115625,399,134,456,208,syn_00010.jpg,syn_00010,synthetic,synthetic
0,normal,0.38515625,0.11796875,0.1359375,0.0796875,203,50,290,101,syn_00010.jpg,syn_00010,synthetic,synthetic
0,normal,0.9421875,0.3453125,0.096875,0.065625,572,200,634,242,syn_00010.jpg,syn_00010,synthetic,synthetic
1,abnormal_head,0.5796875,0.696875,0.096875,0.1,340,414,402,478,syn_00010.jpg,syn_00010,synthetic,synthetic
1,abnormal_head,0.57421875,0.6515625,0.1203125,0.046875,329,402,406,432,syn_00010.jpg,syn_00010,synthetic,synthetic
3,abnormal_tail,0.515625,0.4125,0.0375,0.053125,318,247,342,281,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.384375,0.12421875,0.1,0.0578125,214,61,278,98,syn_00011.jpg,syn_00011,synthetic,synthetic
1,abnormal_head,0.21171875,0.753125,0.1390625,0.09375,91,452,180,512,syn_00011.jpg,syn_00011,synthetic,synthetic
2,abnormal_midpiece,0.74296875,0.590625,0.1078125,0.109375,441,343,510,413,syn_00011.jpg,syn_00011,synthetic,synthetic
3,abnormal_tail,0.753125,0.4390625,0.05,0.078125,466,256,498,306,syn_00011.jpg,syn_00011,synthetic,synthetic
3,abnormal_tail,0.2125,0.2890625,0.090625,0.071875,107,162,165,208,syn_00011.jpg,syn_00011,synthetic,synthetic
1,abnormal_head,0.14765625,0.60859375,0.0796875,0.1421875,69,344,120,435,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.80390625,0.534375,0.0953125,0.059375,484,323,545,361,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.0984375,0.2609375,0.025,0.121875,55,128,71,206,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.15703125,0.4515625,0.0953125,0.090625,70,260,131,318,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.51953125,0.6265625,0.0921875,0.0375,303,389,362,413,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.775,0.63125,0.059375,0.13125,477,362,515,446,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.85234375,0.478125,0.0828125,0.053125,519,289,572,323,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.31328125,0.159375,0.0796875,0.0625,175,82,226,122,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.2828125,0.74765625,0.065625,0.0671875,160,457,202,500,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.271875,0.6046875,0.040625,0.15625,161,337,187,437,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.14609375,0.43359375,0.1328125,0.0828125,51,251,136,304,syn_00011.jpg,syn_00011,synthetic,synthetic
0,normal,0.3890625,0.5765625,0.078125,0.059375,224,350,274,388,syn_00012.jpg,syn_00012,synthetic,synthetic
0,normal,0.6046875,0.14765625,0.096875,0.1078125,356,60,418,129,syn_00012.jpg,syn_00012,synthetic,synthetic
0,normal,0.17265625,0.6375,0.0671875,0.075,89,384,132,432,syn_00012.jpg,syn_00012,synthetic,synthetic
1,abnormal_head,0.8609375,0.6265625,0.115625,0.075,514,377,588,425,syn_00012.jpg,syn_00012,synthetic,synthetic
3,abnormal_tail,0.7109375,0.415625,0.04375,0.06875,441,244,469,288,syn_00012.jpg,syn_00012,synthetic,synthetic
0,normal,0.66875,0.5203125,0.03125,0.10625,418,299,438,367,syn_00012.jpg,syn_00012,synthetic,synthetic
0,normal,0.54453125,0.69140625,0.0984375,0.0828125,317,416,380,469,syn_00012.jpg,syn_00012,synthetic,synthetic
2,abnormal_midpiece,0.853125,0.8484375,0.0625,0.1,526,511,566,575,syn_00012.jpg,syn_00012,synthetic,synthetic
0,normal,0.95390625,0.28125,0.0890625,0.071875,582,157,639,203,syn_00012.jpg,syn_00012,synthetic,synthetic
0,normal,0.34375,0.665625,0.096875,0.053125,189,409,251,443,syn_00012.jpg,syn_00012,synthetic,synthetic
3,abnormal_tail,0.2375,0.6609375,0.0625,0.05625,132,405,172,441,syn_00012.jpg,syn_00012,synthetic,synthetic
0,normal,0.45859375,0.83125,0.0890625,0.071875,265,509,322,555,syn_00012.jpg,syn_00012,synthetic,synthetic
1,abnormal_head,0.38828125,0.4578125,0.0859375,0.103125,221,260,276,326,syn_00012.jpg,syn_00012,synthetic,synthetic
4,cytoplasmic_droplet,0.48671875,0.5640625,0.1234375,0.059375,272,342,351,380,syn_00013.jpg,syn_00013,synthetic,synthetic
0,normal,0.303125,0.06328125,0.109375,0.1046875,159,7,229,74,syn_00013.jpg,syn_00013,synthetic,synthetic
0,normal,0.4796875,0.53359375,0.10625,0.1109375,273,306,341,377,syn_00013.jpg,syn_00013,synthetic,synthetic
3,abnormal_tail,0.86875,0.5203125,0.08125,0.065625,530,312,582,354,syn_00013.jpg,syn_00013,synthetic,synthetic
5,other_abnormal,0.62890625,0.77421875,0.0828125,0.1109375,376,460,429,531,syn_00013.jpg,syn_00013,synthetic,synthetic
1,abnormal_head,0.2484375,0.8078125,0.090625,0.109375,130,482,188,552,syn_00013.jpg,syn_00013,synthetic,synthetic
4,cytoplasmic_droplet,0.778125,0.4953125,0.15,0.084375,450,290,546,344,syn_00014.jpg,syn_00014,synthetic,synthetic
2,abnormal_midpiece,0.2703125,0.83046875,0.071875,0.0734375,150,508,196,555,syn_00014.jpg,syn_00014,synthetic,synthetic
4,cytoplasmic_droplet,0.33828125,0.5890625,0.1171875,0.084375,179,350,254,404,syn_00014.jpg,syn_00014,synthetic,synthetic
0,normal,0.14453125,0.55,0.0859375,0.128125,65,311,120,393,syn_00014.jpg,syn_00014,synthetic,synthetic
0,normal,0.2015625,0.84765625,0.125,0.0609375,89,523,169,562,syn_00014.jpg,syn_00014,synthetic,synthetic
0,normal,0.59609375,0.528125,0.0859375,0.040625,354,325,409,351,syn_00014.jpg,syn_00014,synthetic,synthetic
0,normal,0.7015625,0.2578125,0.1,0.0875,417,137,481,193,syn_00014.jpg,syn_00014,synthetic,synthetic
1,abnormal_head,0.8109375,0.703125,0.096875,0.0625,488,430,550,470,syn_00014.jpg,syn_00014,synthetic,synthetic
5,other_abnormal,0.43984375,0.175,0.0484375,0.1,266,80,297,144,syn_00014.jpg,syn_00014,synthetic,synthetic
0,normal,0.58125,0.7203125,0.075,0.13125,348,419,396,503,syn_00015.jpg,syn_00015,synthetic,synthetic
4,cytoplasmic_droplet,0.5484375,0.659375,0.09375,0.0625,321,402,381,442,syn_00015.jpg,syn_00015,synthetic,synthetic
2,abnormal_midpiece,0.07890625,0.5015625,0.1265625,0.065625,10,300,91,342,syn_00015.jpg,syn_00015,synthetic,synthetic
3,abnormal_tail,0.80859375,0.246875,0.0546875,0.0375,500,146,535,170,syn_00015.jpg,syn_00015,synthetic,synthetic
0,normal,0.33125,0.446875,0.071875,0.0875,189,258,235,314,syn_00015.jpg,syn_00015,synthetic,synthetic
1,abnormal_head,0.68359375,0.7953125,0.0796875,0.1125,412,473,463,545,syn_00015.jpg,syn_00015,synthetic,synthetic
0,normal,0.1875,0.078125,0.08125,0.078125,94,25,146,75,syn_00015.jpg,syn_00015,synthetic,synthetic
1,abnormal_head,0.615625,0.74609375,0.06875,0.1515625,372,429,416,526,syn_00016.jpg,syn_00016,synthetic,synthetic
2,abnormal_midpiece,0.565625,0.59609375,0.05625,0.0921875,344,352,380,411,syn_00016.jpg,syn_00016,synthetic,synthetic
1,abnormal_head,0.73828125,0.8765625,0.1234375,0.040625,433,548,512,574,syn_00016.jpg,syn_00016,synthetic,synthetic
1,abnormal_head,0.60234375,0.6796875,0.0765625,0.040625,361,422,410,448,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.475,0.8375,0.025,0.109375,296,501,312,571,syn_00016.jpg,syn_00016,synthetic,synthetic
1,abnormal_head,0.3953125,0.56015625,0.115625,0.0734375,216,335,290,382,syn_00016.jpg,syn_00016,synthetic,synthetic
3,abnormal_tail,0.3859375,0.18203125,0.028125,0.0890625,238,88,256,145,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.8859375,0.8546875,0.103125,0.1125,534,511,600,583,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.8171875,0.34921875,0.04375,0.1140625,509,187,537,260,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.8390625,0.515625,0.09375,0.05,507,314,567,346,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.8203125,0.4515625,0.03125,0.10625,515,255,535,323,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.3765625,0.3796875,0.08125,0.11875,215,205,267,281,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.228125,0.1046875,0.109375,0.06875,111,45,181,89,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.42578125,0.7015625,0.0703125,0.096875,250,418,295,480,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.1421875,0.6046875,0.04375,0.128125,77,346,105,428,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.70859375,0.80859375,0.0765625,0.0484375,429,502,478,533,syn_00016.jpg,syn_00016,synthetic,synthetic
3,abnormal_tail,0.6671875,0.1546875,0.053125,0.040625,410,86,444,112,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.65234375,0.30625,0.1046875,0.06875,384,174,451,218,syn_00016.jpg,syn_00016,synthetic,synthetic
2,abnormal_midpiece,0.4390625,0.8421875,0.06875,0.115625,259,502,303,576,syn_00016.jpg,syn_00016,synthetic,synthetic
0,normal,0.75,0.29375,0.05,0.140625,464,143,496,233,syn_00017.jpg,syn_00017,synthetic,synthetic
0,normal,0.88125,0.68515625,0.0375,0.1265625,552,398,576,479,syn_00017.jpg,syn_00017,synthetic,synthetic
0,normal,0.27421875,0.3609375,0.0703125,0.103125,153,198,198,264,syn_00017.jpg,syn_00017,synthetic,synthetic
